left,right
000,03f
000,05f
000,06f
000,077
000,07b
000,07d
000,07e
000,09f
000,0af
000,0bb
000,0cf
000,0d7
000,0db
000,0dd
000,0de
000,0e7
000,0eb
000,0ed
000,0f3
000,0f9
000,0fa
000,11f
000,14f
000,157
000,15b
000,15d
000,15e
000,16d
000,179
000,17a
000,18f
000,19b
000,1c7
000,1cb
000,1cd
000,1d3
000,1d9
000,1da
000,1e9
000,21f
000,22f
000,237
000,24f
000,257
000,25b
000,25d
000,25e
000,267
000,26b
000,26d
000,273
000,275
000,276
000,28f
000,297
000,29b
000,29d
000,29e
000,2a7
000,2ab
000,2ad
000,2b3
000,2c7
000,2cb
000,2cd
000,2d3
000,2d5
000,2d6
000,2d9
000,2da
000,2dc
000,2e3
000,2e5
000,2e9
000,2f1
000,2f2
000,30f
000,317
000,31b
000,31d
000,31e
000,32d
000,347
000,34b
000,34d
000,353
000,355
000,356
000,359
000,35a
000,35c
000,365
000,369
000,371
000,372
000,387
000,38b
000,38d
000,393
000,399
000,39a
000,3a9
000,41f
000,44f
000,457
000,45b
000,45d
000,45e
000,46d
000,475
000,476
000,48f
000,497
000,49b
000,49d
000,49e
000,4ad
000,4c7
000,4cb
000,4cd
000,4d3
000,4d5
000,4d6
000,4d9
000,4da
000,4dc
000,4e5
000,4e9
000,4f1
000,4f2
000,51d
000,51e
000,54d
000,555
000,556
000,559
000,55a
000,55c
000,58d
000,599
000,59a
000,60f
000,617
000,647
000,64b
000,64d
000,653
000,655
000,656
000,665
000,687
000,68b
000,68d
000,693
000,695
000,696
000,6a5
000,70d
000,715
000,716
005,05a
005,06a
005,072
005,07b
005,07e
005,09a
005,0aa
005,0bb
005,0ca
005,0d2
005,0d8
005,0db
005,0de
005,0e2
005,0e8
005,0eb
005,0f3
005,0f9
005,11a
005,14a
005,152
005,158
005,15b
005,15e
005,168
005,179
005,18a
005,19b
005,1cb
005,1d3
005,1d9
005,1e9
005,24a
005,252
005,25b
005,25e
005,262
005,26b
005,273
005,276
005,28a
005,292
005,29b
005,29e
005,2a2
005,2ab
005,2b3
005,2cb
005,2d3
005,2d6
005,2d9
005,2dc
005,2e3
005,2e9
005,2f1
005,30a
005,312
005,31b
005,31e
005,34b
005,353
005,356
005,359
005,35c
005,369
005,371
005,38b
005,393
005,399
005,3a9
005,44a
005,452
005,45b
005,45e
005,476
005,48a
005,492
005,49b
005,49e
005,4cb
005,4d3
005,4d6
005,4d9
005,4dc
005,4e9
005,4f1
005,51e
005,556
