left,right
005,0fa
005,17a
005,1da
005,1ea
005,2da
005,2ea
005,2f2
005,35a
005,36a
005,372
005,39a
005,3aa
005,4da
005,4ea
005,4f2
005,55a
005,59a
009,276
009,2f2
009,356
009,366
009,372
009,476
009,4f2
009,556
00a,275
00a,2d5
00a,2e5
00a,2f1
00a,355
00a,365
00a,371
00a,475
00a,4d5
00a,4e5
00a,4f1
00a,555
00a,655
00a,665
00a,715
00c,0f3
00c,1d3
00c,273
00c,2b3
00c,2d3
00c,2e3
00c,2f1
00c,2f2
00c,353
00c,371
00c,372
00c,393
00c,4d3
00c,4f1
00c,4f2
00c,653
00f,2f1
00f,2f2
00f,371
00f,372
00f,4f1
00f,4f2
011,0ee
011,16e
011,1ce
011,1ea
011,26e
011,2ea
011,2ec
011,32e
011,34e
011,366
011,36a
011,36c
011,3aa
011,46e
011,4ea
011,4ec
011,54e
011,56c
012,0ed
012,16d
012,1cd
012,1e9
012,26d
012,2ad
012,2cd
012,2e5
012,2e9
012,2ec
012,32d
012,34d
012,365
012,369
012,36c
012,38d
012,3a9
012,46d
012,4ad
012,4cd
012,4e5
012,4e9
012,4ec
012,54d
012,56c
012,58d
012,64d
012,665
012,70d
017,0e8
017,168
017,1e9
017,1ea
017,2e9
017,2ea
017,2ec
017,369
017,36a
017,36c
017,3a9
017,3aa
017,4e9
017,4ea
017,4ec
017,56c
01b,264
01b,2e5
01b,2ec
01b,365
01b,366
01b,36c
01b,464
01b,4e5
01b,4ec
01b,56c
01b,665
01d,0e2
01d,1ea
01d,262
01d,2e3
01d,2ea
01d,2f2
01d,366
01d,36a
01d,372
01d,3aa
01d,4ea
01d,4f2
01e,0e1
01e,1e9
01e,261
01e,2a1
01e,2e3
01e,2e5
01e,2e9
01e,2f1
01e,365
01e,369
01e,371
01e,3a9
01e,4e5
01e,4e9
01e,4f1
01e,665
02d,0d2
02d,152
02d,1d3
02d,1da
02d,252
02d,2d3
02d,2da
02d,2f2
02d,312
02d,353
02d,356
02d,35a
02d,372
02d,393
02d,39a
02d,452
02d,4d3
02d,4da
02d,4f2
02d,556
02d,55a
02d,59a
02d,653
02e,0d1
02e,151
02e,1d3
02e,1d9
02e,251
02e,291
02e,2d3
02e,2d5
02e,2d9
02e,2f1
02e,311
02e,353
02e,355
02e,359
02e,371
02e,393
02e,399
02e,451
02e,491
02e,4d3
02e,4d5
02e,4d9
02e,4f1
02e,555
02e,559
02e,599
02e,653
02e,655
02e,715
041,31e
041,32e
041,39a
041,3aa
041,51e
041,59a
042,29d
042,2ad
042,31d
042,32d
042,38d
042,399
042,3a9
042,49d
042,4ad
042,51d
042,58d
042,599
042,70d
042,715
044,0bb
044,19b
044,29b
044,2ab
044,2b3
044,31b
044,38b
044,393
044,399
044,39a
044,3a9
044,3aa
044,49b
044,599
044,59a
047,399
047,39a
047,3a9
047,3aa
047,599
047,59a
048,237
048,2b3
048,317
048,393
048,715
04b,715
04d,2b3
04d,2f2
04d,312
04d,372
04d,393
04d,39a
04d,3aa
04d,4f2
04d,59a
04e,291
04e,2a1
04e,2b3
04e,2f1
04e,311
04e,371
04e,393
04e,399
04e,3a9
04e,491
04e,4f1
04e,599
04e,715
050,0af
050,18f
050,22f
050,2ab
050,2ad
050,30f
050,32d
050,32e
050,38b
050,38d
050,3a9
050,3aa
050,4ad
050,58d
050,70d
053,2ad
053,2ec
053,30c
053,32d
053,32e
053,36c
053,38d
053,3a9
053,3aa
053,4ad
053,4ec
053,50c
053,56c
053,58d
053,70d
055,0aa
055,18a
055,1ea
055,2ab
055,2ea
055,30a
055,32e
055,36a
055,38b
055,39a
055,3a9
055,3aa
055,4ea
055,59a
056,0a9
056,189
056,1e9
056,289
056,2a1
056,2ab
056,2ad
056,2e9
056,309
056,32d
056,369
056,38b
056,38d
056,399
056,3a9
056,3aa
056,489
056,4ad
056,4e9
056,58d
056,599
056,70d
059,32e
059,366
059,3aa
05a,225
05a,2a1
05a,2ad
05a,2e5
05a,305
05a,32d
05a,365
05a,38d
05a,3a9
05a,4ad
05a,4e5
05a,58d
05a,665
05a,70d
05a,715
05c,2a1
05c,2ab
05c,2b3
05c,2e3
05c,38b
05c,393
05c,3a9
05c,3aa
05f,2a1
05f,3a9
05f,3aa
060,09f
060,11f
060,18f
060,19b
060,21f
060,29b
060,29d
060,30f
060,317
060,31b
060,31d
060,31e
060,38b
060,38d
060,393
060,399
060,39a
060,41f
060,49b
060,49d
060,51d
060,51e
060,58d
060,599
060,59a
060,70d
060,715
065,09a
065,11a
065,18a
065,19b
065,1da
065,29b
065,2da
065,30a
065,312
065,31b
065,31e
065,35a
065,38b
065,393
065,399
065,39a
065,3aa
065,49b
065,4da
065,51e
065,55a
065,599
065,59a
066,099
066,119
066,189
066,19b
066,1d9
066,289
066,291
066,29b
066,29d
066,2d9
066,309
066,311
066,31b
066,31d
066,359
066,38b
066,38d
066,393
066,399
066,39a
066,3a9
066,489
066,491
066,49b
066,49d
066,4d9
066,51d
066,559
066,58d
066,599
066,59a
066,70d
066,715
069,312
069,317
069,31e
069,356
069,393
069,39a
069,51e
069,556
069,59a
069,715
06a,215
06a,291
06a,29d
06a,2d5
06a,305
06a,311
06a,317
06a,31d
06a,355
06a,38d
06a,393
06a,399
06a,415
06a,491
06a,49d
06a,4d5
06a,51d
06a,555
06a,58d
06a,599
06a,655
06a,70d
06a,715
06c,093
06c,19b
06c,1d3
06c,213
06c,291
06c,29b
06c,2b3
06c,2d3
06c,311
06c,312
06c,317
06c,31b
06c,353
06c,38b
06c,393
06c,399
06c,39a
06c,491
06c,49b
06c,4d3
06c,599
06c,59a
06c,653
06c,715
06f,291
06f,311
06f,312
06f,393
06f,399
06f,39a
06f,491
06f,599
06f,59a
06f,715
071,10e
071,18a
071,18f
071,1ce
071,30a
071,30c
071,30f
071,31e
071,32e
071,34e
071,38b
071,38d
071,39a
071,3aa
071,50c
071,51e
071,54e
071,58d
071,59a
071,70d
072,08d
072,10d
072,189
072,18f
072,1cd
072,20d
072,289
072,29d
072,2ad
072,2cd
072,305
072,309
072,30c
072,30f
072,31d
072,32d
072,34d
072,38b
072,38d
072,399
072,3a9
072,40d
072,489
072,49d
072,4ad
072,4cd
072,50c
072,51d
072,54d
072,58d
072,599
072,64d
072,70d
072,715
077,088
077,108
077,189
077,18a
077,289
077,309
077,30a
077,30c
077,38b
077,38d
077,399
077,39a
077,3a9
077,3aa
077,489
077,50c
077,58d
077,599
077,59a
077,70d
07b,305
07b,30c
07b,38d
07b,50c
07b,58d
07b,70d
07b,715
07d,18a
07d,30a
07d,312
07d,38b
07d,393
07d,39a
07d,3aa
07d,59a
07e,081
07e,189
07e,201
07e,289
07e,291
07e,2a1
07e,305
07e,309
07e,311
07e,38b
07e,38d
07e,393
07e,399
07e,3a9
07e,489
07e,491
07e,58d
07e,599
07e,70d
07e,715
081,15e
081,16e
081,17a
081,25e
081,26e
081,276
081,31e
081,32e
081,34e
081,356
081,35a
081,35c
081,366
081,36a
081,36c
081,372
081,45e
081,46e
081,476
081,51e
081,54e
081,556
081,55a
081,55c
081,56c
088,157
088,237
088,257
088,267
088,273
088,275
088,276
088,317
088,347
088,353
088,355
088,356
088,365
088,366
088,371
088,372
088,457
088,475
088,476
088,555
088,556
088,653
088,655
088,665
088,715
08b,254
08b,264
08b,275
08b,276
08b,355
08b,356
08b,35c
08b,365
08b,366
08b,36c
08b,371
08b,372
08b,454
08b,464
08b,475
08b,476
08b,555
08b,556
08b,55c
08b,56c
08b,655
08b,665
08b,715
08d,152
08d,17a
08d,252
08d,262
08d,273
08d,276
08d,2f2
08d,312
08d,353
08d,356
08d,35a
08d,366
08d,36a
08d,371
08d,372
08d,452
08d,476
08d,4f2
08d,556
08d,55a
08d,653
093,14c
093,168
093,16d
093,16e
093,24c
093,264
093,26d
093,26e
093,2ec
093,30c
093,32d
093,32e
093,34d
093,34e
093,35c
093,365
093,366
093,369
093,36a
093,36c
093,44c
093,464
093,46d
093,46e
093,4ec
093,50c
093,54d
093,54e
093,55c
093,56c
093,64d
093,665
093,70d
099,146
099,16e
099,262
099,264
099,267
099,26e
099,276
099,32e
099,347
099,34e
099,356
099,365
099,366
099,36a
099,36c
099,372
099,464
099,46e
099,476
099,54e
099,556
099,56c
099,665
09a,145
09a,16d
09a,225
09a,245
09a,261
09a,264
09a,267
09a,26d
09a,275
09a,2e5
09a,305
09a,32d
09a,347
09a,34d
09a,355
09a,365
09a,366
09a,369
09a,36c
09a,371
09a,445
09a,464
09a,46d
09a,475
09a,4e5
09a,54d
09a,555
09a,56c
09a,64d
09a,655
09a,665
09a,70d
09a,715
09f,168
09f,261
09f,262
09f,264
09f,365
09f,366
09f,369
09f,36a
09f,36c
09f,371
09f,372
09f,464
09f,56c
09f,665
0a9,146
0a9,152
0a9,157
0a9,15e
0a9,252
0a9,254
0a9,257
0a9,25e
0a9,276
0a9,312
0a9,317
0a9,31e
0a9,347
0a9,34e
0a9,353
0a9,355
0a9,356
0a9,35a
0a9,35c
0a9,366
0a9,372
0a9,452
0a9,454
0a9,457
0a9,45e
0a9,476
0a9,51e
0a9,54e
0a9,555
0a9,556
0a9,55a
0a9,55c
0a9,653
0a9,655
0a9,715
0aa,145
0aa,151
0aa,157
0aa,15d
0aa,215
0aa,245
0aa,251
0aa,254
0aa,257
0aa,25d
0aa,275
0aa,2d5
0aa,305
0aa,311
0aa,317
0aa,31d
0aa,347
0aa,34d
0aa,353
0aa,355
0aa,356
0aa,359
0aa,35c
0aa,365
0aa,371
0aa,415
0aa,445
0aa,451
0aa,454
0aa,457
0aa,45d
0aa,475
0aa,4d5
0aa,51d
0aa,54d
0aa,555
0aa,556
0aa,559
0aa,55c
0aa,64d
0aa,653
0aa,655
0aa,665
0aa,70d
0aa,715
0af,151
0af,152
0af,158
0af,251
0af,252
0af,254
0af,311
0af,312
0af,353
0af,355
0af,356
0af,359
0af,35a
0af,35c
0af,371
0af,372
0af,451
0af,452
0af,454
0af,555
0af,556
0af,559
0af,55a
0af,55c
0af,653
0af,655
0af,715
0bb,145
0bb,146
0bb,14c
0bb,245
0bb,24c
0bb,254
0bb,264
0bb,305
0bb,30c
0bb,347
0bb,34d
0bb,34e
0bb,355
0bb,356
0bb,35c
0bb,365
0bb,366
0bb,36c
0bb,445
0bb,44c
0bb,454
0bb,464
0bb,50c
0bb,54d
0bb,54e
0bb,555
0bb,556
0bb,55c
0bb,56c
0bb,64d
0bb,655
0bb,665
0bb,70d
0bb,715
0c3,30c
0c3,31d
0c3,31e
0c3,32d
0c3,32e
0c3,35c
0c3,36c
0c3,50c
0c3,51d
0c3,51e
0c3,55c
0c3,56c
0c3,70d
0c3,715
0c5,11a
0c5,17a
0c5,30a
0c5,312
0c5,31b
0c5,31e
0c5,32e
0c5,35a
0c5,36a
0c5,372
0c5,39a
0c5,3aa
0c5,51e
0c5,55a
0c5,59a
0c9,237
0c9,276
0c9,312
0c9,317
0c9,31e
0c9,32e
0c9,356
0c9,366
0c9,372
0c9,476
0c9,51e
0c9,556
0c9,715
0ca,215
0ca,225
0ca,237
0ca,275
0ca,305
0ca,311
0ca,317
0ca,31d
0ca,32d
0ca,355
0ca,365
0ca,371
0ca,415
0ca,475
0ca,51d
0ca,555
0ca,655
0ca,665
0ca,70d
0ca,715
0cc,213
0cc,237
0cc,273
0cc,2b3
0cc,311
0cc,312
0cc,317
0cc,31b
0cc,353
0cc,371
0cc,372
0cc,393
0cc,653
0cc,715
0cf,311
0cf,312
0cf,371
0cf,372
0cf,715
0d1,10e
0d1,16e
0d1,22f
0d1,26e
0d1,30a
0d1,30c
0d1,30f
0d1,31e
0d1,32d
0d1,32e
0d1,34e
0d1,366
0d1,36a
0d1,36c
0d1,3aa
0d1,46e
0d1,50c
0d1,51e
0d1,54e
0d1,56c
0d1,70d
0d2,10d
0d2,16d
0d2,20d
0d2,225
0d2,22f
0d2,26d
0d2,2ad
0d2,305
0d2,309
0d2,30c
0d2,30f
0d2,31d
0d2,32d
0d2,32e
0d2,34d
0d2,365
0d2,369
0d2,36c
0d2,38d
0d2,3a9
0d2,40d
0d2,46d
0d2,4ad
0d2,50c
0d2,51d
0d2,54d
0d2,56c
0d2,58d
0d2,64d
0d2,665
0d2,70d
0d2,715
0d7,108
0d7,168
0d7,309
0d7,30a
0d7,30c
0d7,32d
0d7,32e
0d7,369
0d7,36a
0d7,36c
0d7,3a9
0d7,3aa
0d7,50c
0d7,56c
0d7,70d
0d8,225
0d8,22f
0d8,237
0d8,267
0d8,305
0d8,30f
0d8,317
0d8,32d
0d8,32e
0d8,347
0d8,365
0d8,366
0d8,665
0d8,70d
0d8,715
0db,225
0db,264
0db,305
0db,30c
0db,32d
0db,32e
0db,365
0db,366
0db,36c
0db,464
0db,50c
0db,56c
0db,665
0db,70d
0db,715
0dd,262
0dd,30a
0dd,312
0dd,32e
0dd,366
0dd,36a
0dd,372
0dd,3aa
0de,201
0de,225
0de,261
0de,2a1
0de,305
0de,309
0de,311
0de,32d
0de,365
0de,369
0de,371
0de,3a9
0de,665
0de,70d
0de,715
0e1,10e
0e1,11a
0e1,11f
0e1,15e
0e1,21f
0e1,25e
0e1,30a
0e1,30c
0e1,30f
0e1,312
0e1,317
0e1,31b
0e1,31d
0e1,31e
0e1,32e
0e1,34e
0e1,356
0e1,35a
0e1,35c
0e1,39a
0e1,41f
0e1,45e
0e1,50c
0e1,51d
0e1,51e
0e1,54e
0e1,556
0e1,55a
0e1,55c
0e1,59a
0e1,70d
0e1,715
0e2,10d
0e2,119
0e2,11f
0e2,15d
0e2,20d
0e2,215
0e2,21f
0e2,25d
0e2,29d
0e2,305
0e2,309
0e2,30c
0e2,30f
0e2,311
0e2,317
0e2,31b
0e2,31d
0e2,31e
0e2,32d
0e2,34d
0e2,355
0e2,359
0e2,35c
0e2,38d
0e2,399
0e2,40d
0e2,415
0e2,41f
0e2,45d
0e2,49d
0e2,50c
0e2,51d
0e2,51e
0e2,54d
0e2,555
0e2,559
0e2,55c
0e2,58d
0e2,599
0e2,64d
0e2,655
0e2,70d
0e2,715
0e7,108
0e7,119
0e7,11a
0e7,158
0e7,309
0e7,30a
0e7,30c
0e7,311
0e7,312
0e7,31b
0e7,31d
0e7,31e
0e7,359
0e7,35a
0e7,35c
0e7,399
0e7,39a
0e7,50c
0e7,51d
0e7,51e
0e7,559
0e7,55a
0e7,55c
0e7,599
0e7,59a
0e7,70d
0e7,715
0e8,11f
0e8,157
0e8,213
0e8,215
0e8,21f
0e8,237
0e8,257
0e8,305
0e8,30f
0e8,311
0e8,312
0e8,317
0e8,31b
0e8,31d
0e8,31e
0e8,347
0e8,353
0e8,355
0e8,356
0e8,393
0e8,415
0e8,41f
0e8,457
0e8,51d
0e8,51e
0e8,555
0e8,556
0e8,653
0e8,655
0e8,70d
0e8,715
0eb,215
0eb,254
0eb,305
0eb,30c
0eb,311
0eb,312
0eb,317
0eb,31d
0eb,31e
0eb,355
0eb,356
0eb,35c
0eb,415
0eb,454
0eb,50c
0eb,51d
0eb,51e
0eb,555
0eb,556
0eb,55c
0eb,655
0eb,70d
0eb,715
0ed,11a
0ed,152
0ed,213
0ed,252
0ed,30a
0ed,311
0ed,312
0ed,317
0ed,31b
0ed,31e
0ed,353
0ed,356
0ed,35a
0ed,372
0ed,393
0ed,39a
0ed,452
0ed,51e
0ed,556
0ed,55a
0ed,59a
0ed,653
0ed,715
0ee,119
0ee,151
0ee,201
0ee,213
0ee,215
0ee,251
0ee,291
0ee,305
0ee,309
0ee,311
0ee,312
0ee,317
0ee,31b
0ee,31d
0ee,353
0ee,355
0ee,359
0ee,371
0ee,393
0ee,399
0ee,415
0ee,451
0ee,491
0ee,51d
0ee,555
0ee,559
0ee,599
0ee,653
0ee,655
0ee,70d
0ee,715
0f3,108
0f3,10d
0f3,10e
0f3,14c
0f3,20d
0f3,24c
0f3,305
0f3,309
0f3,30a
0f3,30c
0f3,30f
0f3,31d
0f3,31e
0f3,32d
0f3,32e
0f3,34d
0f3,34e
0f3,35c
0f3,36c
0f3,38d
0f3,40d
0f3,44c
0f3,50c
0f3,51d
0f3,51e
0f3,54d
0f3,54e
0f3,55c
0f3,56c
0f3,58d
0f3,64d
0f3,70d
0f3,715
0f9,10e
0f9,146
0f9,305
0f9,30a
0f9,30c
0f9,30f
0f9,312
0f9,317
0f9,31e
0f9,32e
0f9,347
0f9,34e
0f9,356
0f9,366
0f9,50c
0f9,51e
0f9,54e
0f9,556
0f9,70d
0f9,715
0fa,10d
0fa,145
0fa,201
0fa,20d
0fa,215
0fa,225
0fa,245
0fa,305
0fa,309
0fa,30c
0fa,30f
0fa,311
0fa,317
0fa,31d
0fa,32d
0fa,347
0fa,34d
0fa,355
0fa,365
0fa,38d
0fa,40d
0fa,415
0fa,445
0fa,50c
0fa,51d
0fa,54d
0fa,555
0fa,58d
0fa,64d
0fa,655
0fa,665
0fa,70d
0fa,715
108,237
108,257
108,267
108,273
108,275
108,276
108,2b3
108,2d3
108,2d5
108,2e3
108,2e5
108,2f1
108,2f2
108,457
108,475
108,476
108,4d3
108,4d5
