left,right
005,0fa
005,17a
005,1da
005,2da
005,2f2
005,35a
005,372
005,4da
005,4f2
005,55a
006,0f9
006,179
006,1d9
006,1e9
006,2d9
006,2e9
006,2f1
006,359
006,369
006,371
006,399
006,4d9
006,4e9
006,4f1
006,559
006,599
009,276
009,2d6
009,2e6
009,2f2
009,356
009,366
009,372
009,476
009,4d6
009,4e6
009,4f2
009,556
009,656
009,666
009,696
009,716
00a,275
00a,2d5
00a,2e5
00a,2f1
00a,355
00a,365
00a,371
00a,475
00a,4d5
00a,4e5
00a,4f1
00a,555
00a,655
00a,665
00a,695
00a,6a5
00a,715
00c,0f3
00c,1d3
00c,273
00c,2b3
00c,2d3
00c,2e3
00c,2f1
00c,2f2
00c,353
00c,371
00c,372
00c,393
00c,4d3
00c,4f1
00c,4f2
00c,653
00c,693
00f,2f1
00f,2f2
00f,371
00f,372
00f,4f1
00f,4f2
011,0ee
011,16e
011,1ce
011,26e
011,2ce
011,2e6
011,2ec
011,34e
011,366
011,36c
011,46e
011,4ce
011,4e6
011,4ec
011,54e
011,56c
011,64e
011,666
012,0ed
012,16d
012,1cd
012,1e9
012,26d
012,2ad
012,2cd
012,2e5
012,2e9
012,2ec
012,32d
012,34d
012,365
012,369
012,36c
012,38d
012,46d
012,4ad
012,4cd
012,4e5
012,4e9
012,4ec
012,54d
012,56c
012,58d
012,64d
012,665
012,68d
012,6a5
012,70d
017,0e8
017,168
017,1e9
017,2e9
017,2ec
017,369
017,36c
017,4e9
017,4ec
017,56c
01b,264
01b,2e5
01b,2e6
01b,2ec
01b,365
01b,366
01b,36c
01b,464
01b,4e5
01b,4e6
01b,4ec
01b,56c
01b,665
01b,666
01b,6a5
01d,0e2
01d,262
01d,2e3
01d,2e6
01d,2f2
01d,366
01d,372
01d,4e6
01d,4f2
01d,666
01e,0e1
01e,1e9
01e,261
01e,2a1
01e,2e3
01e,2e5
01e,2e9
01e,2f1
01e,365
01e,369
01e,371
01e,4e5
01e,4e9
01e,4f1
01e,665
01e,6a5
02d,0d2
02d,152
02d,1d3
02d,1da
02d,252
02d,292
02d,2d3
02d,2d6
02d,2da
02d,2f2
02d,312
02d,353
02d,356
02d,35a
02d,372
02d,393
02d,452
02d,492
02d,4d3
02d,4d6
02d,4da
02d,4f2
02d,556
02d,55a
02d,653
02d,656
02d,693
02d,696
02d,716
02e,0d1
02e,151
02e,1d3
02e,1d9
02e,251
02e,291
02e,2d3
02e,2d5
02e,2d9
02e,2f1
02e,311
02e,353
02e,355
02e,359
02e,371
02e,393
02e,399
02e,451
02e,491
02e,4d3
02e,4d5
02e,4d9
02e,4f1
02e,555
02e,559
02e,599
02e,653
02e,655
02e,693
02e,695
02e,715
041,29e
041,31e
041,49e
041,51e
041,696
041,716
042,29d
042,2ad
042,31d
042,32d
042,38d
042,399
042,49d
042,4ad
042,51d
042,58d
042,599
042,68d
042,695
042,6a5
042,70d
042,715
044,0bb
044,19b
044,29b
044,2b3
044,31b
044,393
044,399
044,49b
044,599
044,693
047,399
047,599
048,237
048,297
048,2a7
048,2b3
048,317
048,387
048,393
048,497
048,617
048,687
048,693
048,695
048,696
048,6a5
048,715
048,716
04b,695
04b,696
04b,6a5
04b,715
04b,716
04d,292
04d,2b3
04d,2f2
04d,312
04d,372
04d,393
04d,492
04d,4f2
04d,693
04d,696
04d,716
04e,291
04e,2a1
04e,2b3
04e,2f1
04e,311
04e,371
04e,393
04e,399
04e,491
04e,4f1
04e,599
04e,693
04e,695
04e,6a5
04e,715
050,0af
050,18f
050,22f
050,28f
050,2a7
050,2ad
050,30f
050,32d
050,387
050,38d
050,48f
050,4ad
050,58d
050,60f
050,687
050,68d
050,6a5
050,70d
053,28c
053,2ad
053,2ec
053,30c
053,32d
053,36c
053,38d
053,48c
053,4ad
053,4ec
053,50c
053,56c
053,58d
053,68d
053,6a5
053,70d
056,0a9
056,189
056,1e9
056,289
056,2a1
056,2ad
056,2e9
056,309
056,32d
056,369
056,38d
056,399
056,489
056,4ad
056,4e9
056,58d
056,599
056,68d
056,6a5
056,70d
059,226
059,286
059,2a7
059,2e6
059,306
059,366
059,387
059,486
059,4e6
059,606
059,666
059,687
059,696
059,6a5
059,716
05a,225
05a,285
05a,2a1
05a,2a7
05a,2ad
05a,2e5
05a,305
05a,32d
05a,365
05a,387
05a,38d
05a,485
05a,4ad
05a,4e5
05a,58d
05a,605
05a,665
05a,687
05a,68d
05a,695
05a,6a5
05a,70d
05a,715
05c,283
05c,2a1
05c,2a7
05c,2b3
05c,2e3
05c,387
05c,393
05c,687
05c,693
05c,6a5
05f,2a1
05f,6a5
060,09f
060,11f
060,18f
060,19b
060,21f
060,28f
060,297
060,29b
060,29d
060,29e
060,30f
060,317
060,31b
060,31d
060,31e
060,387
060,38d
060,393
060,399
060,41f
060,48f
060,497
060,49b
060,49d
060,49e
060,51d
060,51e
060,58d
060,599
060,60f
060,617
060,687
060,68d
060,693
060,695
060,696
060,70d
060,715
060,716
065,09a
065,11a
065,19b
065,1da
065,292
065,29b
065,29e
065,2da
065,312
065,31b
065,31e
065,35a
065,393
065,399
065,492
065,49b
065,49e
065,4da
065,51e
065,55a
065,599
065,693
065,696
065,716
066,099
066,119
066,189
066,19b
066,1d9
066,289
066,291
066,29b
066,29d
066,2d9
066,309
066,311
066,31b
066,31d
066,359
066,38d
066,393
066,399
066,489
066,491
066,49b
066,49d
066,4d9
066,51d
066,559
066,58d
066,599
066,68d
066,693
066,695
066,70d
066,715
069,216
069,286
069,292
069,297
069,29e
069,2d6
069,306
069,312
069,317
069,31e
069,356
069,387
069,393
069,416
069,486
069,492
069,497
069,49e
069,4d6
069,51e
069,556
069,606
069,617
069,656
069,687
069,693
069,695
069,696
069,715
069,716
06a,215
06a,285
06a,291
06a,297
06a,29d
06a,2d5
06a,305
06a,311
06a,317
06a,31d
06a,355
06a,387
06a,38d
06a,393
06a,399
06a,415
06a,485
06a,491
06a,497
06a,49d
06a,4d5
06a,51d
06a,555
06a,58d
06a,599
06a,605
06a,617
06a,655
06a,687
06a,68d
06a,693
06a,695
06a,696
06a,6a5
06a,70d
06a,715
06a,716
06c,093
06c,19b
06c,1d3
06c,213
06c,283
06c,291
06c,292
06c,297
06c,29b
06c,2b3
06c,2d3
06c,311
06c,312
06c,317
06c,31b
06c,353
06c,387
06c,393
06c,399
06c,491
06c,492
06c,497
06c,49b
06c,4d3
06c,599
06c,617
06c,653
06c,687
06c,693
06c,695
06c,696
06c,715
06c,716
06f,291
06f,292
06f,311
06f,312
06f,393
06f,399
06f,491
06f,492
06f,599
06f,693
06f,695
06f,696
06f,715
06f,716
071,08e
071,10e
071,18f
071,1ce
071,20e
071,286
071,28c
071,28f
071,29e
071,2ce
071,306
071,30c
071,30f
071,31e
071,34e
071,387
071,38d
071,40e
071,486
071,48c
071,48f
071,49e
071,4ce
071,50c
071,51e
071,54e
071,58d
071,606
071,60f
071,64e
071,687
071,68d
071,696
071,70d
071,716
072,08d
072,10d
072,189
072,18f
072,1cd
072,20d
072,285
072,289
072,28c
072,28f
072,29d
072,2ad
072,2cd
072,305
072,309
072,30c
072,30f
072,31d
072,32d
072,34d
072,387
072,38d
072,399
072,40d
072,485
072,489
072,48c
072,48f
072,49d
072,4ad
072,4cd
072,50c
072,51d
072,54d
072,58d
072,599
072,605
072,60f
072,64d
072,687
072,68d
072,695
072,6a5
072,70d
072,715
077,088
077,108
077,189
077,289
077,28c
077,309
077,30c
077,38d
077,399
077,489
077,48c
077,50c
077,58d
077,599
077,68d
077,70d
07b,204
07b,285
07b,286
07b,28c
07b,305
07b,306
07b,30c
07b,387
07b,38d
07b,404
07b,485
07b,486
07b,48c
07b,50c
07b,58d
07b,605
07b,606
07b,687
07b,68d
07b,695
07b,696
07b,6a5
07b,70d
07b,715
07b,716
07d,082
07d,202
07d,283
07d,286
07d,292
07d,306
07d,312
07d,387
07d,393
07d,486
07d,492
07d,606
07d,687
07d,693
07d,696
07d,716
07e,081
07e,189
07e,201
07e,283
07e,285
07e,289
07e,291
07e,2a1
07e,305
07e,309
07e,311
07e,387
07e,38d
07e,393
07e,399
07e,485
07e,489
07e,491
07e,58d
07e,599
07e,605
07e,687
07e,68d
07e,693
07e,695
07e,6a5
07e,70d
07e,715
081,15e
081,16e
081,17a
081,25e
081,26e
081,276
081,31e
081,34e
081,356
081,35a
081,35c
081,366
081,36c
081,372
081,45e
081,46e
081,476
081,51e
081,54e
081,556
081,55a
081,55c
081,56c
081,64e
081,656
081,666
081,716
082,15d
082,16d
082,179
082,25d
082,26d
082,275
082,31d
082,32d
082,34d
082,355
082,359
082,35c
082,365
082,369
082,36c
082,371
082,45d
082,46d
082,475
082,51d
082,54d
082,555
082,559
082,55c
082,56c
082,64d
082,655
082,665
082,70d
082,715
087,158
087,168
087,179
087,17a
087,359
087,35a
087,35c
087,369
087,36c
087,371
087,372
087,559
087,55a
087,55c
087,56c
088,157
088,237
088,257
088,267
088,273
088,275
088,276
088,317
088,347
088,353
088,355
088,356
088,365
088,366
088,371
088,372
088,457
088,475
088,476
088,555
088,556
088,617
088,647
088,653
088,655
088,656
088,665
088,666
088,715
088,716
08b,254
08b,264
08b,275
08b,276
08b,355
08b,356
08b,35c
08b,365
08b,366
08b,36c
08b,371
08b,372
08b,454
08b,464
08b,475
08b,476
08b,555
08b,556
08b,55c
08b,56c
08b,655
08b,656
08b,665
08b,666
08b,715
08b,716
08d,152
08d,17a
08d,252
08d,262
08d,273
08d,276
08d,2f2
08d,312
08d,353
08d,356
08d,35a
08d,366
08d,371
08d,372
08d,452
08d,476
08d,4f2
08d,556
08d,55a
08d,653
08d,656
08d,666
08d,716
08e,151
08e,179
08e,251
08e,261
08e,273
08e,275
08e,2f1
08e,311
08e,353
08e,355
08e,359
08e,365
08e,369
08e,371
08e,372
08e,451
08e,475
08e,4f1
08e,555
08e,559
08e,653
08e,655
08e,665
08e,715
093,14c
093,168
093,16d
093,16e
093,24c
093,264
093,26d
093,26e
093,2ec
093,30c
093,32d
093,34d
093,34e
093,35c
093,365
093,366
093,369
093,36c
093,44c
093,464
093,46d
093,46e
093,4ec
093,50c
093,54d
093,54e
093,55c
093,56c
093,64d
093,64e
093,665
093,666
093,70d
099,146
099,16e
099,226
099,246
099,262
099,264
099,267
099,26e
099,276
099,2e6
099,306
099,347
099,34e
099,356
099,365
099,366
099,36c
099,372
099,446
099,464
099,46e
099,476
099,4e6
099,54e
099,556
099,56c
099,606
099,647
099,64e
099,656
099,665
099,666
099,716
09a,145
09a,16d
09a,225
09a,245
09a,261
09a,264
09a,267
09a,26d
09a,275
09a,2e5
09a,305
09a,32d
09a,347
09a,34d
09a,355
09a,365
09a,366
09a,369
09a,36c
09a,371
09a,445
09a,464
09a,46d
09a,475
09a,4e5
09a,54d
09a,555
09a,56c
09a,605
09a,647
09a,64d
09a,655
09a,665
09a,666
09a,6a5
09a,70d
09a,715
09f,168
09f,261
09f,262
09f,264
09f,365
09f,366
09f,369
09f,36c
09f,371
09f,372
09f,464
09f,56c
09f,665
09f,666
0a9,146
0a9,152
0a9,157
0a9,15e
0a9,216
0a9,246
0a9,252
0a9,254
0a9,257
0a9,25e
0a9,276
0a9,2d6
0a9,306
0a9,312
0a9,317
0a9,31e
0a9,347
0a9,34e
0a9,353
0a9,355
0a9,356
0a9,35a
0a9,35c
0a9,366
0a9,372
0a9,416
0a9,446
0a9,452
0a9,454
0a9,457
0a9,45e
0a9,476
0a9,4d6
0a9,51e
0a9,54e
0a9,555
0a9,556
0a9,55a
0a9,55c
0a9,606
0a9,617
0a9,647
0a9,64e
0a9,653
0a9,655
0a9,656
0a9,666
0a9,696
0a9,715
0a9,716
0af,151
0af,152
0af,158
0af,251
0af,252
0af,254
0af,311
0af,312
0af,353
0af,355
0af,356
0af,359
0af,35a
0af,35c
0af,371
0af,372
0af,451
0af,452
0af,454
0af,555
0af,556
0af,559
0af,55a
0af,55c
0af,653
0af,655
0af,656
0af,715
0af,716
0bb,145
0bb,146
0bb,14c
0bb,204
0bb,245
0bb,246
0bb,24c
0bb,254
0bb,264
0bb,305
0bb,306
0bb,30c
0bb,347
0bb,34d
0bb,34e
0bb,355
0bb,356
0bb,35c
0bb,365
0bb,366
0bb,36c
0bb,404
0bb,445
0bb,446
0bb,44c
0bb,454
0bb,464
0bb,50c
0bb,54d
0bb,54e
0bb,555
0bb,556
0bb,55c
0bb,56c
0bb,605
0bb,606
0bb,647
0bb,64d
0bb,64e
0bb,655
0bb,656
0bb,665
0bb,666
0bb,70d
0bb,715
0bb,716
0c3,30c
0c3,31d
0c3,31e
0c3,32d
0c3,35c
0c3,36c
0c3,50c
0c3,51d
0c3,51e
0c3,55c
0c3,56c
0c3,70d
0c3,715
0c3,716
0c5,11a
0c5,17a
0c5,312
0c5,31b
0c5,31e
0c5,35a
0c5,372
0c5,51e
0c5,55a
0c5,716
0c6,119
0c6,179
0c6,309
0c6,311
0c6,31b
0c6,31d
0c6,32d
0c6,359
0c6,369
0c6,371
0c6,399
0c6,51d
0c6,559
0c6,599
0c6,70d
0c6,715
0c9,216
0c9,226
0c9,237
0c9,276
0c9,306
0c9,312
0c9,317
0c9,31e
0c9,356
0c9,366
0c9,372
0c9,416
0c9,476
0c9,51e
0c9,556
0c9,606
0c9,617
0c9,656
0c9,666
0c9,696
0c9,715
0c9,716
0ca,215
0ca,225
0ca,237
0ca,275
0ca,305
0ca,311
0ca,317
0ca,31d
0ca,32d
0ca,355
0ca,365
0ca,371
0ca,415
0ca,475
0ca,51d
0ca,555
0ca,605
0ca,617
0ca,655
0ca,665
0ca,695
0ca,6a5
0ca,70d
0ca,715
0ca,716
0cc,213
0cc,237
0cc,273
0cc,2b3
0cc,311
0cc,312
0cc,317
0cc,31b
0cc,353
0cc,371
0cc,372
0cc,393
0cc,617
0cc,653
0cc,693
0cc,715
0cc,716
0cf,311
0cf,312
0cf,371
0cf,372
0cf,715
0cf,716
0d1,10e
0d1,16e
0d1,20e
0d1,226
0d1,22f
0d1,26e
0d1,306
0d1,30c
0d1,30f
0d1,31e
0d1,32d
0d1,34e
0d1,366
0d1,36c
0d1,40e
0d1,46e
0d1,50c
0d1,51e
0d1,54e
0d1,56c
0d1,606
0d1,60f
0d1,64e
0d1,666
0d1,70d
0d1,716
0d2,10d
0d2,16d
0d2,20d
0d2,225
0d2,22f
0d2,26d
0d2,2ad
0d2,305
0d2,309
0d2,30c
0d2,30f
0d2,31d
0d2,32d
0d2,34d
0d2,365
0d2,369
0d2,36c
0d2,38d
0d2,40d
0d2,46d
0d2,4ad
0d2,50c
0d2,51d
0d2,54d
0d2,56c
0d2,58d
0d2,605
0d2,60f
0d2,64d
0d2,665
0d2,68d
0d2,6a5
0d2,70d
0d2,715
0d7,108
0d7,168
0d7,309
0d7,30c
0d7,32d
0d7,369
0d7,36c
0d7,50c
0d7,56c
0d7,70d
0d8,207
0d8,225
0d8,226
0d8,22f
0d8,237
0d8,267
0d8,2a7
0d8,305
0d8,306
0d8,30f
0d8,317
0d8,32d
0d8,347
0d8,365
0d8,366
0d8,387
0d8,605
0d8,606
0d8,60f
0d8,617
0d8,647
0d8,665
0d8,666
0d8,687
0d8,6a5
0d8,70d
0d8,715
0d8,716
0db,204
0db,225
0db,226
0db,264
0db,305
0db,306
0db,30c
0db,32d
0db,365
0db,366
0db,36c
0db,404
0db,464
0db,50c
0db,56c
0db,605
0db,606
0db,665
0db,666
0db,6a5
0db,70d
0db,715
0db,716
0dd,202
0dd,226
0dd,262
0dd,306
0dd,312
0dd,366
0dd,372
0dd,606
0dd,666
0dd,716
0de,201
0de,225
0de,261
0de,2a1
0de,305
0de,309
0de,311
0de,32d
0de,365
0de,369
0de,371
0de,605
0de,665
0de,6a5
0de,70d
0de,715
0e1,10e
0e1,11a
0e1,11f
0e1,15e
0e1,20e
0e1,216
0e1,21f
0e1,25e
0e1,29e
0e1,306
0e1,30c
0e1,30f
0e1,312
0e1,317
0e1,31b
0e1,31d
0e1,31e
0e1,34e
0e1,356
0e1,35a
0e1,35c
0e1,40e
0e1,416
0e1,41f
0e1,45e
0e1,49e
0e1,50c
0e1,51d
0e1,51e
0e1,54e
0e1,556
0e1,55a
0e1,55c
0e1,606
0e1,60f
0e1,617
0e1,64e
0e1,656
0e1,696
0e1,70d
0e1,715
0e1,716
0e2,10d
0e2,119
0e2,11f
0e2,15d
0e2,20d
0e2,215
0e2,21f
0e2,25d
0e2,29d
0e2,305
0e2,309
0e2,30c
0e2,30f
0e2,311
0e2,317
0e2,31b
0e2,31d
0e2,31e
0e2,32d
0e2,34d
0e2,355
0e2,359
0e2,35c
0e2,38d
0e2,399
0e2,40d
0e2,415
0e2,41f
0e2,45d
0e2,49d
0e2,50c
0e2,51d
0e2,51e
0e2,54d
0e2,555
0e2,559
0e2,55c
0e2,58d
0e2,599
0e2,605
0e2,60f
0e2,617
0e2,64d
0e2,655
0e2,68d
0e2,695
0e2,70d
0e2,715
0e2,716
0e7,108
0e7,119
0e7,11a
0e7,158
0e7,309
0e7,30c
0e7,311
0e7,312
0e7,31b
0e7,31d
