left,right
005,0fa
005,17a
005,1da
005,1ea
005,2da
005,2ea
005,2f2
005,36a
005,39a
005,3aa
005,4da
005,4ea
005,4f2
005,59a
006,0f9
006,179
006,1d9
006,1e9
006,2d9
006,2e9
006,2f1
006,359
006,369
006,371
006,399
006,3a9
006,4d9
006,4e9
006,4f1
006,559
006,599
009,2e6
009,2f2
009,4e6
009,4f2
009,6a6
00a,275
00a,2d5
00a,2e5
00a,2f1
00a,365
00a,371
00a,475
00a,4d5
00a,4e5
00a,4f1
00a,665
00a,695
00a,6a5
00c,0f3
00c,1d3
00c,273
00c,2b3
00c,2d3
00c,2e3
00c,2f1
00c,2f2
00c,371
00c,393
00c,4d3
00c,4f1
00c,4f2
00c,693
00f,2f1
00f,2f2
00f,371
00f,4f1
00f,4f2
011,0ee
011,16e
011,1ce
011,1ea
011,26e
011,2ae
011,2ce
011,2e6
011,2ea
011,2ec
011,32e
011,36a
011,36c
011,38e
011,3aa
011,46e
011,4ae
011,4ce
011,4e6
011,4ea
011,4ec
011,56c
011,58e
011,68e
011,6a6
012,0ed
012,16d
012,1cd
012,1e9
012,26d
012,2ad
012,2cd
012,2e5
012,2e9
012,2ec
012,32d
012,34d
012,365
012,369
012,36c
012,38d
012,3a9
012,46d
012,4ad
012,4cd
012,4e5
012,4e9
012,4ec
012,54d
012,56c
012,58d
012,64d
012,665
012,68d
012,6a5
012,70d
017,0e8
017,168
017,1e9
017,1ea
017,2e9
017,2ea
017,2ec
017,369
017,36a
017,36c
017,3a9
017,3aa
017,4e9
017,4ea
017,4ec
017,56c
01b,264
01b,2e5
01b,2e6
01b,2ec
01b,365
01b,36c
01b,464
01b,4e5
01b,4e6
01b,4ec
01b,56c
01b,665
01b,6a5
01b,6a6
01d,0e2
01d,1ea
01d,262
01d,2a2
01d,2e3
01d,2e6
01d,2ea
01d,2f2
01d,36a
01d,3aa
01d,4e6
01d,4ea
01d,4f2
01d,6a6
01e,0e1
01e,1e9
01e,261
01e,2a1
01e,2e3
01e,2e5
01e,2e9
01e,2f1
01e,365
01e,369
01e,371
01e,3a9
01e,4e5
01e,4e9
01e,4f1
01e,665
01e,6a5
02d,0d2
02d,1d3
02d,1da
02d,292
02d,2d3
02d,2da
02d,2f2
02d,393
02d,39a
02d,492
02d,4d3
02d,4da
02d,4f2
02d,59a
02d,693
02e,0d1
02e,151
02e,1d3
02e,1d9
02e,251
02e,291
02e,2d3
02e,2d5
02e,2d9
02e,2f1
02e,311
02e,359
02e,371
02e,393
02e,399
02e,451
02e,491
02e,4d3
02e,4d5
02e,4d9
02e,4f1
02e,559
02e,599
02e,693
02e,695
041,29e
041,2ae
041,32e
041,38e
041,39a
041,3aa
041,49e
041,4ae
041,58e
041,59a
041,68e
041,6a6
042,29d
042,2ad
042,31d
042,32d
042,38d
042,399
042,3a9
042,49d
042,4ad
042,51d
042,58d
042,599
042,68d
042,695
042,6a5
042,70d
044,0bb
044,19b
044,29b
044,2ab
044,2b3
044,31b
044,38b
044,393
044,399
044,39a
044,3a9
044,3aa
044,49b
044,599
044,59a
044,68b
044,693
047,399
047,39a
047,3a9
047,3aa
047,599
047,59a
048,237
048,297
048,2a7
048,2b3
048,387
048,393
048,497
048,687
048,693
048,695
048,6a5
048,6a6
04b,695
04b,6a5
04b,6a6
04d,292
04d,2a2
04d,2b3
04d,2f2
04d,393
04d,39a
04d,3aa
04d,492
04d,4f2
04d,59a
04d,693
04d,6a6
04e,291
04e,2a1
04e,2b3
04e,2f1
04e,311
04e,371
04e,393
04e,399
04e,3a9
04e,491
04e,4f1
04e,599
04e,693
04e,695
04e,6a5
050,0af
050,18f
050,22f
050,28f
050,2a7
050,2ab
050,2ad
050,2ae
050,30f
050,32d
050,32e
050,387
050,38b
050,38d
050,38e
050,3a9
050,3aa
050,48f
050,4ad
050,4ae
050,58d
050,58e
050,60f
050,687
050,68b
050,68d
050,68e
050,6a5
050,6a6
050,70d
053,28c
053,2ad
053,2ae
053,2ec
053,30c
053,32d
053,32e
053,36c
053,38d
053,38e
053,3a9
053,3aa
053,48c
053,4ad
053,4ae
053,4ec
053,50c
053,56c
053,58d
053,58e
053,68d
053,68e
053,6a5
053,6a6
053,70d
055,0aa
055,18a
055,1ea
055,28a
055,2a2
055,2ab
055,2ae
055,2ea
055,30a
055,32e
055,36a
055,38b
055,38e
055,39a
055,3a9
055,3aa
055,48a
055,4ae
055,4ea
055,58e
055,59a
055,68b
055,68e
055,6a6
059,226
059,286
059,2a2
059,2a7
059,2ae
059,2e6
059,32e
059,387
059,38e
059,3aa
059,486
059,4ae
059,4e6
059,58e
059,687
059,68e
059,6a5
059,6a6
05a,225
05a,285
05a,2a1
05a,2a7
05a,2ad
05a,2e5
05a,305
05a,32d
05a,365
05a,387
05a,38d
05a,3a9
05a,485
05a,4ad
05a,4e5
05a,58d
05a,605
05a,665
05a,687
05a,68d
05a,695
05a,6a5
05a,6a6
05a,70d
05c,283
05c,2a1
05c,2a2
05c,2a7
05c,2ab
05c,2b3
05c,2e3
05c,387
05c,38b
05c,393
05c,3a9
05c,3aa
05c,687
05c,68b
05c,693
05c,6a5
05c,6a6
05f,2a1
05f,2a2
05f,3a9
05f,3aa
05f,6a5
05f,6a6
060,09f
060,11f
060,18f
060,19b
060,21f
060,28f
060,297
060,29b
060,29d
060,29e
060,30f
060,31b
060,31d
060,387
060,38b
060,38d
060,38e
060,393
060,399
060,39a
060,41f
060,48f
060,497
060,49b
060,49d
060,49e
060,51d
060,58d
060,58e
060,599
060,59a
060,60f
060,687
060,68b
060,68d
060,68e
060,693
060,695
060,70d
065,09a
065,11a
065,18a
065,19b
065,1da
065,28a
065,292
065,29b
065,29e
065,2da
065,30a
065,31b
065,38b
065,38e
065,393
065,399
065,39a
065,3aa
065,48a
065,492
065,49b
065,49e
065,4da
065,58e
065,599
065,59a
065,68b
065,68e
065,693
066,099
066,119
066,189
066,19b
066,1d9
066,289
066,291
066,29b
066,29d
066,2d9
066,309
066,311
066,31b
066,31d
066,359
066,38b
066,38d
066,393
066,399
066,39a
066,3a9
066,489
066,491
066,49b
066,49d
066,4d9
066,51d
066,559
066,58d
066,599
066,59a
066,68b
066,68d
066,693
066,695
066,70d
069,286
069,292
069,297
069,29e
069,387
069,38e
069,393
069,39a
069,486
069,492
069,497
069,49e
069,58e
069,59a
069,687
069,68e
069,693
069,695
069,6a6
06a,215
06a,285
06a,291
06a,297
06a,29d
06a,2d5
06a,305
06a,311
06a,31d
06a,387
06a,38d
06a,393
06a,399
06a,415
06a,485
06a,491
06a,497
06a,49d
06a,4d5
06a,51d
06a,58d
06a,599
06a,605
06a,687
06a,68d
06a,693
06a,695
06a,6a5
06a,70d
06c,093
06c,19b
06c,1d3
06c,213
06c,283
06c,291
06c,292
06c,297
06c,29b
06c,2b3
06c,2d3
06c,311
06c,31b
06c,387
06c,38b
06c,393
06c,399
06c,39a
06c,491
06c,492
06c,497
06c,49b
06c,4d3
06c,599
06c,59a
06c,687
06c,68b
06c,693
06c,695
06f,291
06f,292
06f,311
06f,393
06f,399
06f,39a
06f,491
06f,492
06f,599
06f,59a
06f,693
06f,695
071,08e
071,10e
071,18a
071,18f
071,1ce
071,20e
071,286
071,28a
071,28c
071,28f
071,29e
071,2ae
071,2ce
071,30a
071,30c
071,30f
071,32e
071,387
071,38b
071,38d
071,38e
071,39a
071,3aa
071,40e
071,486
071,48a
071,48c
071,48f
071,49e
071,4ae
071,4ce
071,50c
071,58d
071,58e
071,59a
071,60f
071,687
071,68b
071,68d
071,68e
071,6a6
071,70d
072,08d
072,10d
072,189
072,18f
072,1cd
072,20d
072,285
072,289
072,28c
072,28f
072,29d
072,2ad
072,2cd
072,305
072,309
072,30c
072,30f
072,31d
072,32d
072,34d
072,387
072,38b
072,38d
072,38e
072,399
072,3a9
072,40d
072,485
072,489
072,48c
072,48f
072,49d
072,4ad
072,4cd
072,50c
072,51d
072,54d
072,58d
072,58e
072,599
072,605
072,60f
072,64d
072,687
072,68b
072,68d
072,68e
072,695
072,6a5
072,70d
077,088
077,108
077,189
077,18a
077,289
077,28a
077,28c
077,309
077,30a
077,30c
077,38b
077,38d
077,38e
077,399
077,39a
077,3a9
077,3aa
077,489
077,48a
077,48c
077,50c
077,58d
077,58e
077,599
077,59a
077,68b
077,68d
077,68e
077,70d
07b,204
07b,285
07b,286
07b,28c
07b,305
07b,30c
07b,387
07b,38d
07b,38e
07b,404
07b,485
07b,486
07b,48c
07b,50c
07b,58d
07b,58e
07b,605
07b,687
07b,68d
07b,68e
07b,695
07b,6a5
07b,6a6
07b,70d
07d,082
07d,18a
07d,202
07d,283
07d,286
07d,28a
07d,292
07d,2a2
07d,30a
07d,387
07d,38b
07d,38e
07d,393
07d,39a
07d,3aa
07d,486
07d,48a
07d,492
07d,58e
07d,59a
07d,687
07d,68b
07d,68e
07d,693
07d,6a6
07e,081
07e,189
07e,201
07e,283
07e,285
07e,289
07e,291
07e,2a1
07e,305
07e,309
07e,311
07e,387
07e,38b
07e,38d
07e,393
07e,399
07e,3a9
07e,485
07e,489
07e,491
07e,58d
07e,599
07e,605
07e,687
07e,68b
07e,68d
07e,693
07e,695
07e,6a5
07e,70d
081,16e
081,17a
081,26e
081,32e
081,36a
081,36c
081,46e
081,56c
082,15d
082,16d
082,179
082,25d
082,26d
082,275
082,31d
082,32d
082,34d
082,359
082,365
082,369
082,36c
082,371
082,45d
082,46d
082,475
082,51d
082,54d
082,559
082,56c
082,64d
082,665
082,70d
087,158
087,168
087,179
087,17a
087,359
087,369
087,36a
087,36c
087,371
087,559
087,56c
088,237
088,267
088,273
088,275
088,365
088,371
088,475
088,665
08b,264
08b,275
08b,365
08b,36c
08b,371
08b,464
08b,475
08b,56c
08b,665
08d,17a
08d,262
08d,273
08d,2f2
08d,36a
08d,371
08d,4f2
08e,151
08e,179
08e,251
08e,261
08e,273
08e,275
08e,2f1
08e,311
08e,359
08e,365
08e,369
08e,371
08e,451
08e,475
08e,4f1
08e,559
08e,665
093,14c
093,168
093,16d
093,16e
093,24c
093,264
093,26d
093,26e
093,2ec
093,30c
093,32d
093,32e
093,34d
093,365
093,369
093,36a
093,36c
093,44c
093,464
093,46d
093,46e
093,4ec
093,50c
093,54d
093,56c
093,64d
093,665
093,70d
099,16e
099,226
099,262
099,264
099,267
099,26e
099,2e6
099,32e
099,365
099,36a
099,36c
099,464
099,46e
099,4e6
099,56c
099,665
099,6a6
09a,145
09a,16d
09a,225
09a,245
09a,261
09a,264
09a,267
09a,26d
09a,275
09a,2e5
09a,305
09a,32d
09a,34d
09a,365
09a,369
09a,36c
09a,371
09a,445
09a,464
09a,46d
09a,475
09a,4e5
09a,54d
09a,56c
09a,605
09a,64d
09a,665
09a,6a5
09a,70d
09f,168
09f,261
09f,262
09f,264
09f,365
09f,369
09f,36a
09f,36c
09f,371
09f,464
09f,56c
09f,665
0aa,145
0aa,151
0aa,15d
0aa,215
0aa,245
0aa,251
0aa,25d
0aa,275
0aa,2d5
0aa,305
0aa,311
0aa,31d
0aa,34d
0aa,359
0aa,365
0aa,371
0aa,415
0aa,445
0aa,451
0aa,45d
0aa,475
0aa,4d5
0aa,51d
0aa,54d
0aa,559
0aa,605
0aa,64d
0aa,665
0aa,695
0aa,70d
0af,151
0af,158
0af,251
0af,311
0af,359
0af,371
0af,451
0af,559
0bb,145
0bb,14c
0bb,204
0bb,245
0bb,24c
0bb,264
0bb,305
0bb,30c
0bb,34d
0bb,365
0bb,36c
0bb,404
0bb,445
0bb,44c
0bb,464
0bb,50c
0bb,54d
0bb,56c
0bb,605
0bb,64d
0bb,665
0bb,70d
0c3,30c
0c3,31d
0c3,32d
0c3,32e
0c3,36c
0c3,50c
0c3,51d
0c3,56c
0c3,70d
0c5,11a
0c5,17a
0c5,30a
0c5,31b
0c5,32e
0c5,36a
0c5,39a
0c5,3aa
0c5,59a
0c6,119
0c6,179
0c6,309
0c6,311
0c6,31b
0c6,31d
0c6,32d
0c6,359
0c6,369
0c6,371
0c6,399
0c6,3a9
0c6,51d
0c6,559
0c6,599
0c6,70d
0c9,226
0c9,237
0c9,32e
0c9,6a6
0ca,215
0ca,225
0ca,237
0ca,275
0ca,305
0ca,311
0ca,31d
0ca,32d
0ca,365
0ca,371
0ca,415
0ca,475
0ca,51d
0ca,605
0ca,665
0ca,695
0ca,6a5
0ca,70d
0cc,213
0cc,237
0cc,273
0cc,2b3
0cc,311
0cc,31b
0cc,371
0cc,393
0cc,693
0cf,311
0cf,371
0d1,10e
0d1,16e
0d1,20e
0d1,226
0d1,22f
0d1,26e
0d1,2ae
0d1,30a
0d1,30c
0d1,30f
0d1,32d
0d1,32e
0d1,36a
0d1,36c
0d1,38e
0d1,3aa
0d1,40e
0d1,46e
0d1,4ae
0d1,50c
0d1,56c
0d1,58e
0d1,60f
0d1,68e
0d1,6a6
0d1,70d
0d2,10d
0d2,16d
0d2,20d
0d2,225
0d2,22f
0d2,26d
0d2,2ad
0d2,305
0d2,309
0d2,30c
0d2,30f
0d2,31d
0d2,32d
0d2,32e
0d2,34d
0d2,365
0d2,369
0d2,36c
0d2,38d
0d2,3a9
0d2,40d
0d2,46d
0d2,4ad
0d2,50c
0d2,51d
0d2,54d
0d2,56c
0d2,58d
0d2,605
0d2,60f
0d2,64d
0d2,665
0d2,68d
0d2,6a5
0d2,70d
0d7,108
0d7,168
0d7,309
0d7,30a
0d7,30c
0d7,32d
0d7,32e
0d7,369
0d7,36a
0d7,36c
0d7,3a9
0d7,3aa
0d7,50c
0d7,56c
0d7,70d
0d8,207
0d8,225
0d8,226
0d8,22f
0d8,237
0d8,267
0d8,2a7
0d8,305
0d8,30f
0d8,32d
0d8,32e
0d8,365
0d8,387
0d8,605
0d8,60f
0d8,665
0d8,687
0d8,6a5
0d8,6a6
0d8,70d
0db,204
0db,225
0db,226
0db,264
0db,305
0db,30c
0db,32d
0db,32e
0db,365
0db,36c
0db,404
0db,464
0db,50c
0db,56c
0db,605
0db,665
0db,6a5
0db,6a6
0db,70d
0dd,202
0dd,226
0dd,262
0dd,2a2
0dd,30a
0dd,32e
0dd,36a
0dd,3aa
0dd,6a6
0de,201
0de,225
0de,261
0de,2a1
0de,305
0de,309
0de,311
0de,32d
0de,365
0de,369
0de,371
0de,3a9
0de,605
0de,665
0de,6a5
0de,70d
0e1,10e
0e1,11a
0e1,11f
0e1,20e
0e1,21f
0e1,29e
0e1,30a
0e1,30c
0e1,30f
0e1,31b
0e1,31d
0e1,32e
0e1,38e
0e1,39a
0e1,40e
0e1,41f
0e1,49e
0e1,50c
0e1,51d
0e1,58e
0e1,59a
0e1,60f
0e1,68e
0e1,70d
0e2,10d
0e2,119
0e2,11f
0e2,15d
0e2,20d
0e2,215
0e2,21f
0e2,25d
0e2,29d
0e2,305
0e2,309
0e2,30c
0e2,30f
0e2,311
0e2,31b
0e2,31d
0e2,32d
0e2,34d
0e2,359
0e2,38d
0e2,399
0e2,40d
0e2,415
0e2,41f
0e2,45d
0e2,49d
0e2,50c
0e2,51d
0e2,54d
0e2,559
0e2,58d
0e2,599
0e2,605
0e2,60f
0e2,64d
0e2,68d
0e2,695
0e2,70d
0e7,108
0e7,119
0e7,11a
0e7,158
0e7,309
0e7,30a
0e7,30c
0e7,311
0e7,31b
0e7,31d
0e7,359
0e7,399
0e7,39a
0e7,50c
0e7,51d
0e7,559
0e7,599
0e7,59a
0e7,70d
0e8,11f
0e8,207
0e8,213
0e8,215
0e8,21f
0e8,237
0e8,297
0e8,305
0e8,30f
0e8,311
0e8,31b
0e8,31d
0e8,387
0e8,393
0e8,415
0e8,41f
0e8,497
0e8,51d
0e8,605
0e8,60f
0e8,687
0e8,693
0e8,695
0e8,70d
0eb,204
0eb,215
0eb,305
0eb,30c
0eb,311
0eb,31d
0eb,404
0eb,415
0eb,50c
0eb,51d
0eb,605
0eb,695
0eb,70d
0ed,11a
0ed,202
0ed,213
0ed,292
0ed,30a
0ed,311
0ed,31b
0ed,393
0ed,39a
0ed,492
0ed,59a
0ed,693
0ee,119
0ee,151
0ee,201
0ee,213
0ee,215
0ee,251
0ee,291
0ee,305
0ee,309
0ee,311
0ee,31b
0ee,31d
0ee,359
0ee,371
0ee,393
0ee,399
0ee,415
0ee,451
0ee,491
0ee,51d
0ee,559
0ee,599
0ee,605
0ee,693
0ee,695
0ee,70d
0f3,108
0f3,10d
0f3,10e
0f3,14c
0f3,204
0f3,20d
0f3,20e
0f3,24c
0f3,28c
0f3,305
0f3,309
0f3,30a
0f3,30c
0f3,30f
0f3,31d
0f3,32d
0f3,32e
0f3,34d
0f3,36c
0f3,38d
0f3,38e
0f3,404
0f3,40d
0f3,40e
0f3,44c
0f3,48c
0f3,50c
0f3,51d
0f3,54d
0f3,56c
0f3,58d
0f3,58e
0f3,605
0f3,60f
0f3,64d
0f3,68d
0f3,68e
0f3,70d
0f9,10e
0f9,202
0f9,204
0f9,207
0f9,20e
0f9,226
0f9,286
0f9,305
0f9,30a
0f9,30c
0f9,30f
0f9,32e
0f9,387
0f9,38e
0f9,404
0f9,40e
0f9,486
